"","X","id","latitude","longitude","findspot_ancient_clean","province_label_clean","modern_region_clean","not_before","not_after","type_of_monument_clean","material_clean","type_of_inscription_clean","transcription","clean_text_interpretive_word","id_people","person_number_insc","name","praenomen","nomen","name_clean","nomen_clean","cognomen","supernomen","gender","origo","status","total_age","age_years","age_months","age_hours","nomen_nonempty"
"1",1693,"HD000712",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",77,79,"tabula","Limestone","building/dedicatory inscription","[Caeci]liae f(iliae) suae nomin[e] L(ucius) Ca[e]/[ciliu]s C(ai) f(ilius) Ouf(entina) Secundus praef(ectus) / [fabr(um)] a co(n)s(ule) IIIIvir i(ure) d(icundo) pontif(ex) tem/[plum] aeternitati Romae et Augu[s]/[tor(um) c]um porticibus et ornamen/tis incohavit / [- Caeci]lius Secundus f(ilius) dedic(avit)","Caeciliae filiae suae nomine Lucius Caecilius Cai filius Oufentina Secundus praefectus fabrum a consule IIII vir iure dicundo pontifex templum aeternitati Romae et Augustorum cum porticibus et ornamentis incohavit Caecilius Secundus filius dedicavit",1693,1,"[Caeci]liae",NA,"Caecilia+","[Caeci]liae","Caecilia",NA,NA,"female",NA,NA,NA,NA,NA,NA,"Caecilia"
"2",1694,"HD000712",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",77,79,"tabula","Limestone","building/dedicatory inscription","[Caeci]liae f(iliae) suae nomin[e] L(ucius) Ca[e]/[ciliu]s C(ai) f(ilius) Ouf(entina) Secundus praef(ectus) / [fabr(um)] a co(n)s(ule) IIIIvir i(ure) d(icundo) pontif(ex) tem/[plum] aeternitati Romae et Augu[s]/[tor(um) c]um porticibus et ornamen/tis incohavit / [- Caeci]lius Secundus f(ilius) dedic(avit)","Caeciliae filiae suae nomine Lucius Caecilius Cai filius Oufentina Secundus praefectus fabrum a consule IIII vir iure dicundo pontifex templum aeternitati Romae et Augustorum cum porticibus et ornamentis incohavit Caecilius Secundus filius dedicavit",1694,2,"L. Ca[eciliu]s C.f. Ouf. Secundus","L.","Caecilius+","L. Ca[eciliu]s C.f. Ouf. Secundus","Caecilius","Secundus",NA,"male",NA,"equestrian order; decurial order, higher local offices",NA,NA,NA,NA,"Caecilius"
"3",1695,"HD000712",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",77,79,"tabula","Limestone","building/dedicatory inscription","[Caeci]liae f(iliae) suae nomin[e] L(ucius) Ca[e]/[ciliu]s C(ai) f(ilius) Ouf(entina) Secundus praef(ectus) / [fabr(um)] a co(n)s(ule) IIIIvir i(ure) d(icundo) pontif(ex) tem/[plum] aeternitati Romae et Augu[s]/[tor(um) c]um porticibus et ornamen/tis incohavit / [- Caeci]lius Secundus f(ilius) dedic(avit)","Caeciliae filiae suae nomine Lucius Caecilius Cai filius Oufentina Secundus praefectus fabrum a consule IIII vir iure dicundo pontifex templum aeternitati Romae et Augustorum cum porticibus et ornamentis incohavit Caecilius Secundus filius dedicavit",1695,3,"[- Caeci]lius Secundus","[-]","Caecilius+","[- Caeci]lius Secundus","Caecilius","Secundus",NA,"male",NA,"senatorial order",NA,NA,NA,NA,"Caecilius"
"4",1968,"HD000752",9.3979,46.3197,"NULL","Transpadana (Regio XI)","Lombardia",201,350,"stele","Clay","epitaph","D(is) M(anibus) / memoriae Publicies Septi/mines / L(ucius) Sammonius Adiutor coniug(i) / pientissim(a)e / et animules(!) amantissimes(!)","Dis Manibus memoriae Publicies Septimines Lucius Sammonius Adiutor coniugi pientissimae et animules amantissimes",1968,1,"Publicies(!) Septimines(!)",NA,"Publicia","Publicies(!) Septimines(!)","Publicia","Septimina",NA,"female",NA,NA,NA,NA,NA,NA,"Publicia"
"5",1969,"HD000752",9.3979,46.3197,"NULL","Transpadana (Regio XI)","Lombardia",201,350,"stele","Clay","epitaph","D(is) M(anibus) / memoriae Publicies Septi/mines / L(ucius) Sammonius Adiutor coniug(i) / pientissim(a)e / et animules(!) amantissimes(!)","Dis Manibus memoriae Publicies Septimines Lucius Sammonius Adiutor coniugi pientissimae et animules amantissimes",1969,2,"L. Sammonius Adiutor","L.","Sammonius","L. Sammonius Adiutor","Sammonius","Adiutor",NA,"male",NA,NA,NA,NA,NA,NA,"Sammonius"
"6",2058,"HD000802",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",77,79,"tabula","NULL","building/dedicatory inscription","------] / [--- templum] / [aeternitati Romae et Au]gustor[um] / [cum porticib(us) et orname]nt(is) incoh[avit] / [- Caecilius Secundus] f(ilius) dedic[avit]","templum aeternitati Romae et Augustorum cum porticibus et ornamentis incohavit Caecilius Secundus filius dedicavit",2058,1,"[- Caecilius Secundus]","[-]","Caecilius+","[- Caecilius Secundus]","Caecilius","Secundus+",NA,"male",NA,"senatorial order",NA,NA,NA,NA,"Caecilius"
"7",2104,"HD000827",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",14,37,"statue base","Limestone","honorific inscription","Imp(eratori) Ti(berio) / d(ivi) Aug(usti) f(ilio) D(ivi) I(uli) / n(epoti) Aug(usto)","Imperatori Tiberio divi Augusti filio Divi Iuli nepoti Augusto",2104,1,"Imp. Ti. d.Aug.f. D.I.n. Aug.","Imp. Ti.",NA,"Imp. Ti. d.Aug.f. D.I.n. Aug.",NA,"Augustus*",NA,"male",NA,NA,NA,NA,NA,NA,NA
"8",2953,"HD001236",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,400,"NULL","NULL","epitaph","[B(onae?) m(emoriae?) P?]ontiae Virg[iniae] / quae vixit in s(a)ec[ulo ann(os)] / XXIIII m(enses) duo [d(ies) ---] / et Severi[---] / et P[---]","Bonae memoriae Pontiae Virginiae quae vixit in saeculo annos XXIIII menses duo dies et Severi et P",2953,1,"[P?]ontiae Virg[iniae]",NA,"Pontia+?","[P?]ontiae Virg[iniae]","Pontia","Virginia+",NA,"female",NA,NA,24.1666666666667,24,2,NA,"Pontia"
"9",2954,"HD001236",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,400,"NULL","NULL","epitaph","[B(onae?) m(emoriae?) P?]ontiae Virg[iniae] / quae vixit in s(a)ec[ulo ann(os)] / XXIIII m(enses) duo [d(ies) ---] / et Severi[---] / et P[---]","Bonae memoriae Pontiae Virginiae quae vixit in saeculo annos XXIIII menses duo dies et Severi et P",2954,2,"Severi[---]",NA,"Severi[---]?","Severi[---]","Severi[---]","Severi[---]?",NA,NA,NA,NA,NA,NA,NA,NA,"Severi"
"10",2955,"HD001236",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,400,"NULL","NULL","epitaph","[B(onae?) m(emoriae?) P?]ontiae Virg[iniae] / quae vixit in s(a)ec[ulo ann(os)] / XXIIII m(enses) duo [d(ies) ---] / et Severi[---] / et P[---]","Bonae memoriae Pontiae Virginiae quae vixit in saeculo annos XXIIII menses duo dies et Severi et P",2955,3,"P[---]","[-]","P[---]?","P[---]","P[---]","P[---]?",NA,NA,NA,NA,NA,NA,NA,NA,""
